topic,question,options_A,options_B,options_C,options_D,correct_answer,explanation
Pediatric Nursing,A 5-year-old child with sickle cell crisis reports severe abdominal pain. What is the nurse’s first action?,Encourage ambulation to reduce pain,Assess pain and administer analgesics,Apply a cold pack to the abdomen,Monitor vital signs every 4 hours,B,Assessing pain and administering analgesics addresses vaso-occlusive pain in a sickle cell crisis.
Pediatric Nursing,A 10-year-old child with status epilepticus receives lorazepam. Which monitoring is critical?,Blood glucose levels,Heart rate only,Temperature every 4 hours,Respiratory rate and level of consciousness,D,Monitoring respiratory rate and level of consciousness is critical due to lorazepam’s risk of respiratory depression.
Pediatric Nursing,A 1-year-old infant with tetralogy of Fallot has a hypercyanotic spell. Which position is most effective?,Supine with head elevated,Prone with head turned,Knee-chest position,Flat with legs elevated,C,The knee-chest position increases systemic vascular resistance reducing right-to-left shunting during a hypercyanotic spell.
Pediatric Nursing,A 6-year-old child with cystic fibrosis requires pancreatic enzyme replacement. When should the nurse administer it?,With meals or snacks,Every 4 hours regardless of meals,Only with high-protein meals,After meals to aid digestion,A,Administering pancreatic enzymes with meals or snacks aids digestion in cystic fibrosis.
Pediatric Nursing,A 3-month-old infant with suspected intussusception exhibits currant jelly stools. What is the nurse’s priority action?,Encourage oral feedings,Notify the provider and prepare for imaging,Monitor bowel movements every 4 hours,Administer an antiemetic,B,Notifying the provider and preparing for imaging addresses intussusception a potential surgical emergency.
Pediatric Nursing,A 12-year-old child with sickle cell disease develops fever and chest pain. Which condition should the nurse suspect?,Mild respiratory infection,Normal exertion-related pain,Pneumonia,Acute chest syndrome,D,Fever and chest pain in sickle cell disease suggest acute chest syndrome requiring immediate assessment.
Pediatric Nursing,A 7-year-old child with hemophilia reports elbow pain after a fall. Which action is the nurse’s priority?,Administer factor VIII and immobilize the joint,Encourage active range of motion,Apply a warm compress to the elbow,Monitor pain every 4 hours,A,Administering factor VIII and immobilizing the joint prevents bleeding and promotes recovery in hemophilia.
Pediatric Nursing,A 2-month-old infant with a fever of 103°F is admitted. What is the nurse’s priority action?,Administer acetaminophen immediately,Assess for infection and notify the provider,Encourage oral fluids without assessment,Monitor temperature every 6 hours,B,Assessing for infection and notifying the provider is critical as high fever in a 2-month-old may indicate a serious condition.
Pediatric Nursing,A 5-year-old child with anaphylaxis receives epinephrine. Which finding requires immediate action?,Heart rate of 100 bpm,Mild facial flushing,Normal blood pressure,Persistent wheezing and dyspnea,D,Persistent wheezing and dyspnea indicate ongoing anaphylaxis requiring immediate intervention.
Pediatric Nursing,A 1-year-old infant with a ventricular septal defect exhibits poor weight gain. Which intervention is most appropriate?,Provide high-calorie formula as ordered,Limit feedings to every 4 hours,Encourage solid foods only,Monitor weight weekly without intervention,A,Providing high-calorie formula supports growth in an infant with a ventricular septal defect.
Pediatric Nursing,A 6-year-old child with status asthmaticus receives albuterol. Which finding indicates treatment effectiveness?,Persistent cyanosis,Decreased wheezing and improved air entry,Increased respiratory rate,Use of accessory muscles,B,Decreased wheezing and improved air entry indicate effective albuterol treatment for status asthmaticus.
Pediatric Nursing,A 3-year-old child with suspected meningitis exhibits nuchal rigidity. What is the nurse’s priority action?,Encourage oral fluids immediately,Monitor temperature every 4 hours,Initiate isolation and notify the provider,Administer antipyretics without assessment,C,Initiating isolation and notifying the provider prevents spread and ensures prompt treatment for suspected meningitis.
Pediatric Nursing,A 1-year-old infant with a head injury exhibits vomiting and lethargy. Which finding requires immediate action?,Dilated and nonreactive pupils,Normal respiratory rate,Stable heart rate,Mild irritability during feeding,A,Dilated and nonreactive pupils indicate increased intracranial pressure requiring immediate intervention.
Pediatric Nursing,A 5-year-old child with celiac disease develops diarrhea after eating. Which food likely caused the symptoms?,Rice and chicken,Wheat-based cereal,Fresh fruit salad,Corn tortillas,B,Wheat-based cereal contains gluten which triggers diarrhea in a child with celiac disease.
Pediatric Nursing,A 4-month-old infant with suspected Hirschsprung’s disease exhibits abdominal distension. What is the nurse’s priority action?,Encourage oral feedings,Monitor bowel movements every 4 hours,Administer an antiemetic,Assess for bowel obstruction and notify the provider,D,Assessing for bowel obstruction and notifying the provider addresses complications of Hirschsprung’s disease.
Pediatric Nursing,A 7-year-old child with a femur fracture is in traction. Which action ensures proper care?,Allow weight-bearing on the affected leg,Remove traction weights during bathing,Check skin integrity and pin sites,Adjust traction weights every 4 hours,C,Checking skin integrity and pin sites prevents complications like infection in a child in traction.
Pediatric Nursing,A 2-year-old child with a history of febrile seizures has a fever of 102°F. What is the nurse’s priority action?,Administer antipyretics as ordered,Apply warm blankets to reduce fever,Restrict fluids to prevent seizures,Monitor temperature every 8 hours,A,Administering antipyretics as ordered reduces fever and prevents febrile seizures in at-risk children.
Pediatric Nursing,A 10-year-old child with a central venous catheter exhibits fever and chills. What is the nurse’s first action?,Clean the site with soap and water,Assess for infection and notify the provider,Change the dressing every 24 hours,Apply a non-occlusive dressing,B,Assessing for infection and notifying the provider addresses potential catheter-related bloodstream infections.
Pediatric Nursing,A 6-month-old infant with severe gastroenteritis exhibits poor skin turgor and sunken eyes. What is the nurse’s priority action?,Encourage formula feeding immediately,Monitor weight every 12 hours,Administer oral fluids without assessment,Initiate IV rehydration and assess electrolytes,D,Initiating IV rehydration and assessing electrolytes addresses severe dehydration in an infant with gastroenteritis.
